,Items,Name,Percent
0,OS Version,Windows,93.47%
1,OS Version,Windows 11 64 bit,67.74%
2,OS Version,Windows 10 64 bit,25.63%
3,OS Version,Windows 7 64 bit,0.07%
4,OS Version,OSX,2.01%
5,OS Version,MacOS 26.3.1 64 bit,0.49%
6,OS Version,MacOS 26.4.0 64 bit,0.27%
7,OS Version,MacOS 26.4.1 64 bit,0.20%
8,OS Version,MacOS 26.2.0 64 bit,0.12%
9,OS Version,MacOS 26.3.0 64 bit,0.11%
10,OS Version,MacOS 15.7.4 64 bit,0.10%
11,OS Version,MacOS 15.6.1 64 bit,0.07%
12,OS Version,MacOS 15.7.3 64 bit,0.06%
13,OS Version,Linux,4.52%
14,OS Version,Arch Linux 64 bit,0.32%
15,OS Version,Linux Mint 22.3 64 bit,0.27%
16,OS Version,Ubuntu Core 24 64 bit,0.13%
17,OS Version,Ubuntu 24.04.4 LTS 64 bit,0.09%
18,OS Version,Fedora Linux 43 (KDE Plasma Desktop Edition) 64 bit,0.06%
19,OS Version,Ubuntu 25.10 64 bit,0.06%
20,OS Version,Linux Mint 22.2 64 bit,0.05%
21,OS Version,Fedora Linux 43 (Workstation Edition) 64 bit,0.05%
22,OS Version,Manjaro Linux 64 bit,0.05%
23,OS Version,Debian GNU/Linux 13 (trixie) 64 bit,0.05%
24,System RAM,Less than 4 GB,0.02%
25,System RAM,4 GB,1.46%
26,System RAM,8 GB,7.66%
27,System RAM,12 GB,2.46%
28,System RAM,16 GB,40.86%
29,System RAM,24 GB,1.97%
30,System RAM,28 GB,0.55%
31,System RAM,32 GB,37.55%
32,System RAM,48 GB,1.20%
33,System RAM,60 GB,0.94%
34,System RAM,64 GB,4.10%
35,System RAM,More than 64 GB,0.61%
36,System RAM,Other,0.62%
37,Physical CPUs,1 cpu,0.02%
38,Physical CPUs,2 cpus,3.04%
39,Physical CPUs,3 cpus,0.10%
40,Physical CPUs,4 cpus,13.02%
41,Physical CPUs,5 cpus,0.15%
42,Physical CPUs,6 cpus,28.62%
43,Physical CPUs,7 cpus,0.01%
44,Physical CPUs,8 cpus,26.95%
45,Physical CPUs,9 cpus,0.00%
46,Physical CPUs,10 cpus,7.60%
47,Physical CPUs,11 cpus,0.04%
48,Physical CPUs,12 cpus,5.10%
49,Physical CPUs,13 cpus,0.00%
50,Physical CPUs,14 cpus,4.93%
51,Physical CPUs,15 cpus,0.01%
52,Physical CPUs,16 cpus,5.51%
53,Physical CPUs,17 cpus,0.00%
54,Physical CPUs,18 cpus,0.08%
55,Physical CPUs,19 cpus,0.00%
56,Physical CPUs,20 cpus,2.06%
57,Physical CPUs,21 cpus,0.00%
58,Physical CPUs,22 cpus,0.01%
59,Physical CPUs,23 cpus,0.00%
60,Physical CPUs,24 cpus,2.73%
61,Physical CPUs,26 cpus,0.00%
62,Physical CPUs,28 cpus,0.01%
63,Physical CPUs,30 cpus,0.00%
64,Physical CPUs,31 cpus,0.00%
65,Physical CPUs,32 cpus,0.01%
66,Physical CPUs,36 cpus,0.00%
67,Physical CPUs,40 cpus,0.00%
